Comment,Author,Published At,Published Year,Sentiment Type
"Download Audicate Now &amp; Listen to Audio books for CBSE, NCERT, UPSC, NEET, IITJEE, SSC, EPFO in Just ₹199/ - <a href=""http://lnkiy.in/Audicate"">http://lnkiy.in/Audicate</a>",@dhruvrathee,2023-03-28T07:07:53Z,2023,Neutral
Ye sab Quran me likha hai beskhak allah qadir hai,@Ejaz280,2024-05-01T07:06:57Z,2024,Neutral
Anyone form 2027 ? <br>Time traveller 😊,@anwar_786_,2024-04-30T18:54:32Z,2024,Neutral
Yes,@sudhanshumishraguru,2024-04-30T16:33:38Z,2024,Neutral
30 April 2024,@user-ph3io7we8u,2024-04-30T14:12:52Z,2024,Neutral
"Human can never be alive more than dinosaurs, if they don&#39;t realize.....",@cubing_king8,2024-04-30T12:39:07Z,2024,Negative
100 core support ❤,@strangersingh4191,2024-04-30T08:27:55Z,2024,Neutral
Is video sabit hota yeh ki god nahi the,@dhruvgohil875,2024-04-30T05:41:08Z,2024,Neutral
"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=52"">0:52</a> the question mark with dianasaurs skeleton shows how passionately you are making these videos.. One could have used simple  question marks as well..",@sagarpatel7816,2024-04-30T01:59:27Z,2024,Neutral
🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎 2024see,@rajputanablood7207,2024-04-30T01:45:34Z,2024,Neutral
Evoulution nahi janab .. iss evolution ko bataty huye to aapki Apni hi hassi nahi rukk rahi qk yeh story just story hy.. Fact is har makhlooq ko ALLAH (SWT) Ny paida kiya hy,@ALLAH_Ka_Banda786z,2024-04-29T20:55:56Z,2024,Neutral
29 April 2024,@xARUN_786,2024-04-29T18:01:54Z,2024,Neutral
"Actually someone said, agar iss dharti pe koi insaan na reheta toh dharti bahut sundar hoti❤. As a human we failed everywhere😌😅",@Prithwish999,2024-04-29T17:34:35Z,2024,Neutral
"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=925"">15:25</a> And what you think insaan bach jayenge earth ke lifetime tak .... Ye extinctions Chalte rahenge  Dinosaur jitna din raaj kiya hum utna din bhi nehi kar payenge .... Nature ko koi samajh nehi sakta..... Ye hamara time hai ane wala time kisi or ka hoga",@LimitlessYT07,2024-04-29T10:57:47Z,2024,Neutral
Dinosaur ka ant by Shyam tomar best khatarnaq video hai👍 ek asteroid ne kuch minutes me kaise pure planet pr living non living species ko khatm kiya 😢aur uske baad kis tarah ussse bhi badtar baki Prithvi  ka haal hua😮,@sana__3950,2024-04-29T08:18:41Z,2024,Positive
Bohot Kuch sikhe ne ko milta hei Bhai Ka video se... 🌱🌿🌳 Please save nature 🙏🏾 tree 🌴 very important this time 2024..,@Anmol_travel_vlogs.,2024-04-28T21:39:37Z,2024,Neutral
8:00 pm. Par kon. Dekh raha hy,@IslamicWords0,2024-04-28T15:02:18Z,2024,Neutral
I support Dhruv Rathi sir,@ManishKumar-oq4xz,2024-04-28T11:31:43Z,2024,Neutral
भाई वेद भी इस time डायनासोर के आस पास भटक रहे होंगे न😂😂😂,@tarachandverma9536,2024-04-28T09:42:21Z,2024,Neutral
Fir koi ye bataye phle bhagwan aya ya insaan,@visheshkumar3786,2024-04-28T05:17:38Z,2024,Neutral
Just came here  as I like his knowledge related content else I hate this man for his 25*7 antimodi campaign,@manishamohanty2977,2024-04-27T18:14:19Z,2024,Negative
Kaun-kaun 2025 Mein dekh raha hai,@Rizac572,2024-04-27T03:43:17Z,2024,Neutral
❤❤ dhruv Rathi ❤❤❤,@Ahir50up,2024-04-26T19:41:25Z,2024,Neutral
Nice video 😊,@bantidas4716,2024-04-26T09:09:23Z,2024,Positive
Dhruv rathee then ✅ Dhruv rathee now ❌🥺🥺,@chandreshthakor9022,2024-04-26T07:44:58Z,2024,Neutral
Dhruv Vai agar wo astroid sea me jakar girta to dinosaur zinda rahta ya mar jata??,@kabirff1669,2024-04-26T05:23:07Z,2024,Neutral
Yes I am,@INDM-TRADER,2024-04-25T07:36:45Z,2024,Neutral
Aapne saare theory 12th ke evolution se liya hain but explain accha Kiya hain ..thank you bhaiya...❤❤,@MOHD_ADIL_4447,2024-04-25T05:25:20Z,2024,Neutral
Sir Faisal waraich and brother Dhruv Rathee are two shining stars in Indo-pak.,@Bachal34120,2024-04-25T04:46:45Z,2024,Neutral
to fir devta konse period me the dhru bhia😂,@vladkaran1918,2024-04-24T17:39:43Z,2024,Neutral
archaeptteryxx   from business proposal 😂,@cheerhata6826,2024-04-24T16:26:45Z,2024,Neutral
Insan apni harkat ki wajah se jaldi hi na nimat jayen😁😁,@asif251,2024-04-24T14:11:47Z,2024,Neutral
👍👍👍👍👍👍💙💙💙💙👍👍💙💙💙😈😈😈😈😈😈😈💙💙💙💙💙💙💙💙💙👍👍👍👍👍👍👍,@vikasram688,2024-04-24T13:36:30Z,2024,Neutral
We need to save our earth 🌎❤,@0ur6stars,2024-04-24T12:48:04Z,2024,Neutral
God bless you,@melwynfernandes6308,2024-04-24T11:12:06Z,2024,Neutral
24 April 2024 me kon kon dekh rha hai,@FreeAgent333,2024-04-24T09:51:20Z,2024,Neutral
Mai nhi hu,@ffpujaagaming8800,2024-04-24T05:12:44Z,2024,Neutral
can you make vedio on 7 civilization (scince),@hassnainabro-qh9ew,2024-04-23T13:13:37Z,2024,Neutral
1 million year tak survive ke baad khatm ho jayega insaan sayad kyonki pollution bahot ho raha hai duniya mein forest harvesting badh gaya hai,@mkotti8720,2024-04-23T10:21:03Z,2024,Neutral
God knows,@abbaskathanawala2187,2024-04-23T08:26:18Z,2024,Neutral
ARK players be like Abe ya to wo wala dinosaur ha wo wala thukne wala 😂,@nihalshah525,2024-04-22T21:42:40Z,2024,Neutral
Tu jama b ni tha Tab ki bat ha yeh,@MrkamranKamran-fr3zr,2024-04-22T17:44:58Z,2024,Neutral
just about phenomenal Dhruvji.keep up the wonderful work and keep educating us .God bless you and your family.🎉,@kanti290,2024-04-22T15:13:02Z,2024,Positive
Bhai tab insan hongey?,@sidhuMoosewala-xp9dy,2024-04-22T04:18:39Z,2024,Neutral
Sir.. I want to know about titanoboa.. Plz make a vdo on that.. Whether it is fake or real..,@ratulnath3111,2024-04-22T02:32:16Z,2024,Neutral
Janne Ke Liye Kitna Kuch Hain &amp; Puri Duniya Religion Ke Chakkar Mein Hain Rehh!! Future Bright Banani Hain To God/Goddess Per Yakin Rakhon Spiritual Bano &amp; Asli Zindegi Ko Dhundo Earth Mein Bohot Kuch Hain Janne Ke Liye Humhey Educated Banni Hain Hum Sabko,@rddas5415,2024-04-21T20:04:47Z,2024,Neutral
Please God jaldi se ek bda sa asteroid bhejo dharti par. Mn ub gya gai sala.,@princekumaryadav1932,2024-04-21T06:07:41Z,2024,Neutral
Great video sir❤,@Fbpranks888,2024-04-21T05:20:45Z,2024,Positive
Or bhagvan kab aye ? 🤔<br>Please explain rathiji,@1000RSFullNight,2024-04-20T22:09:56Z,2024,Neutral
FIR Prithvi ka janm kaise hua,@onlygaminglotof7075,2024-04-20T14:14:58Z,2024,Neutral
Respect for dhruv rathi sir ❤❤❤,@MujeefAli-bb1bl,2024-04-20T04:41:37Z,2024,Neutral
"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1372"">22:52</a> <br>Qayamat Ai gi InshAllah Hona Wahi Ha Jo Mera Allah Na Chahna Hai❤❤",@user-ut6km9bm4e,2024-04-19T14:54:33Z,2024,Neutral
"Depends on astroid, earthquake 😢",@Rikun.,2024-04-19T14:02:42Z,2024,Neutral
Anyone in 2025???😂,@circuitgamerzone8332,2024-04-19T10:13:48Z,2024,Neutral
Human will extinct in next 1 million year <br>Due to  Nuclear World War,@enter12study,2024-04-18T17:21:18Z,2024,Negative
Thanks sir🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏👌👌👌👌❤❤😢😢😮😮,@SumanKumar-zk6hk,2024-04-18T15:30:00Z,2024,Positive
Bhai aap  bahut achi vidio bnate ho,@ShehazadKhan-zd6oc,2024-04-18T10:39:43Z,2024,Neutral
😅😅😅😅well information good show you can get 😅😅,@KartikPatel-nt4ff,2024-04-18T06:31:17Z,2024,Positive
😅😅😮😅😅😮😅😅😅😅well ingormeti0n.Good show more content is 😅😅,@KartikPatel-nt4ff,2024-04-18T04:42:12Z,2024,Neutral
I wish the day of dinosaur extinction never happened as it resulted the beginning of evolution of human,@Tanu1802_,2024-04-17T16:56:00Z,2024,Neutral
12:4 though,@Qasim_khan.75,2024-04-17T11:09:52Z,2024,Neutral
Koun koun iss video ko 3001 mein dekh rha hai<br>👇,@MdMeraj-ws2lb,2024-04-17T10:59:02Z,2024,Neutral
