,Comment
0,"Download Audicate Now &amp; Listen to Audio books for CBSE, NCERT, UPSC, NEET, IITJEE, SSC, EPFO in Just ₹199/ - <a href=""http://lnkiy.in/Audicate"">http://lnkiy.in/Audicate</a>"
1,Ye sab Quran me likha hai beskhak allah qadir hai
2,Anyone form 2027 ? <br>Time traveller 😊
3,Yes
4,30 April 2024
5,"Human can never be alive more than dinosaurs, if they don&#39;t realize....."
6,100 core support ❤
7,Is video sabit hota yeh ki god nahi the
8,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=52"">0:52</a> the question mark with dianasaurs skeleton shows how passionately you are making these videos.. One could have used simple  question marks as well.."
9,🌎🌎🌎🌎🌎🌎🌎🌎🌎🌎 2024see
10,Evoulution nahi janab .. iss evolution ko bataty huye to aapki Apni hi hassi nahi rukk rahi qk yeh story just story hy.. Fact is har makhlooq ko ALLAH (SWT) Ny paida kiya hy
11,29 April 2024
12,"Actually someone said, agar iss dharti pe koi insaan na reheta toh dharti bahut sundar hoti❤. As a human we failed everywhere😌😅"
13,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=925"">15:25</a> And what you think insaan bach jayenge earth ke lifetime tak .... Ye extinctions Chalte rahenge  Dinosaur jitna din raaj kiya hum utna din bhi nehi kar payenge .... Nature ko koi samajh nehi sakta..... Ye hamara time hai ane wala time kisi or ka hoga"
14,Dinosaur ka ant by Shyam tomar best khatarnaq video hai👍 ek asteroid ne kuch minutes me kaise pure planet pr living non living species ko khatm kiya 😢aur uske baad kis tarah ussse bhi badtar baki Prithvi  ka haal hua😮
15,Bohot Kuch sikhe ne ko milta hei Bhai Ka video se... 🌱🌿🌳 Please save nature 🙏🏾 tree 🌴 very important this time 2024..
16,8:00 pm. Par kon. Dekh raha hy
17,I support Dhruv Rathi sir
18,भाई वेद भी इस time डायनासोर के आस पास भटक रहे होंगे न😂😂😂
19,Fir koi ye bataye phle bhagwan aya ya insaan
20,Just came here  as I like his knowledge related content else I hate this man for his 25*7 antimodi campaign
21,Kaun-kaun 2025 Mein dekh raha hai
22,❤❤ dhruv Rathi ❤❤❤
23,Nice video 😊
24,Dhruv rathee then ✅ Dhruv rathee now ❌🥺🥺
25,Dhruv Vai agar wo astroid sea me jakar girta to dinosaur zinda rahta ya mar jata??
26,Yes I am
27,Aapne saare theory 12th ke evolution se liya hain but explain accha Kiya hain ..thank you bhaiya...❤❤
28,Sir Faisal waraich and brother Dhruv Rathee are two shining stars in Indo-pak.
29,to fir devta konse period me the dhru bhia😂
30,archaeptteryxx   from business proposal 😂
31,Insan apni harkat ki wajah se jaldi hi na nimat jayen😁😁
32,👍👍👍👍👍👍💙💙💙💙👍👍💙💙💙😈😈😈😈😈😈😈💙💙💙💙💙💙💙💙💙👍👍👍👍👍👍👍
33,We need to save our earth 🌎❤
34,God bless you
35,24 April 2024 me kon kon dekh rha hai
36,Mai nhi hu
37,can you make vedio on 7 civilization (scince)
38,1 million year tak survive ke baad khatm ho jayega insaan sayad kyonki pollution bahot ho raha hai duniya mein forest harvesting badh gaya hai
39,God knows
40,ARK players be like Abe ya to wo wala dinosaur ha wo wala thukne wala 😂
41,Tu jama b ni tha Tab ki bat ha yeh
42,just about phenomenal Dhruvji.keep up the wonderful work and keep educating us .God bless you and your family.🎉
43,Bhai tab insan hongey?
44,Sir.. I want to know about titanoboa.. Plz make a vdo on that.. Whether it is fake or real..
45,Janne Ke Liye Kitna Kuch Hain &amp; Puri Duniya Religion Ke Chakkar Mein Hain Rehh!! Future Bright Banani Hain To God/Goddess Per Yakin Rakhon Spiritual Bano &amp; Asli Zindegi Ko Dhundo Earth Mein Bohot Kuch Hain Janne Ke Liye Humhey Educated Banni Hain Hum Sabko
46,Please God jaldi se ek bda sa asteroid bhejo dharti par. Mn ub gya gai sala.
47,Great video sir❤
48,Or bhagvan kab aye ? 🤔<br>Please explain rathiji
49,FIR Prithvi ka janm kaise hua
50,Respect for dhruv rathi sir ❤❤❤
51,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1372"">22:52</a> <br>Qayamat Ai gi InshAllah Hona Wahi Ha Jo Mera Allah Na Chahna Hai❤❤"
52,"Depends on astroid, earthquake 😢"
53,Anyone in 2025???😂
54,Human will extinct in next 1 million year <br>Due to  Nuclear World War
55,Thanks sir🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏👌👌👌👌❤❤😢😢😮😮
56,Bhai aap  bahut achi vidio bnate ho
57,😅😅😅😅well information good show you can get 😅😅
58,😅😅😮😅😅😮😅😅😅😅well ingormeti0n.Good show more content is 😅😅
59,I wish the day of dinosaur extinction never happened as it resulted the beginning of evolution of human
60,12:4 though
61,Koun koun iss video ko 3001 mein dekh rha hai<br>👇
62,❤
63,1 million tak
64,2M
65,17 April 2024 me kon kon dekh raha he ❤
66,Collect information from here n there and pile them up.. Already known to those who have studied the facts way bac in their lives.
67,Kaun kaun iss video ko 2054 ma dekh raha tha 😅
68,Good job sir😊
69,Kon kon 2025 me drkh raha he 😂😂😂
